wavelength_um,geometric_albedo_cloud_free,geometric_albedo_cloudy_virga,fpfs_reflected_cloud_free,fpfs_reflected_cloudy_virga
0.523,0.0018826422300912123,0.0018916134681669506,7.699847760429088e-12,7.736539366673575e-12
0.524,0.0018264387358430858,0.0018343242899995262,7.469980214488741e-12,7.502231465172876e-12
0.525,0.0017800335233046495,0.0017871029998555116,7.28018681342443e-12,7.309100375607151e-12
0.526,0.0017390072253485958,0.0017454302375543656,7.1123927188341296e-12,7.1386622964295556e-12
0.527,0.001700825883643562,0.0017067108412053516,6.956234255097002e-12,6.980303234629121e-12
0.528,0.0016642179644923735,0.0016696841884546356,6.806510956753381e-12,6.8288673512191465e-12
0.529,0.0016309512920836657,0.0016360644889969877,6.6704530754687855e-12,6.6913656191121776e-12
0.53,0.001597444788239158,0.0016022174137681599,6.5334143038619025e-12,6.552933939299526e-12
0.531,0.001558593755212564,0.001562941580068332,6.374516859164892e-12,6.392299095716974e-12
0.532,0.0015224391175723653,0.0015264301518060346,6.226647443928454e-12,6.242970436961723e-12
0.533,0.0014869141084004553,0.0014905718582306716,6.081353155964723e-12,6.096313043928693e-12
0.534,0.001450707519148466,0.0014540311622424495,5.933271263022591e-12,5.9468646826456246e-12
0.535,0.0014171213660024362,0.0014201699946638764,5.795906732497661e-12,5.8083753663123996e-12
0.536,0.0013867463135535667,0.001389584061341853,5.6716753326952605e-12,5.683281481544498e-12
0.537,0.0013595675346949787,0.001362246280647153,5.56051642200018e-12,5.571472266765018e-12
0.538,0.0013338347533318516,0.0013363736619994276,5.4552715189689305e-12,5.465655441046903e-12
0.539,0.0012996927569477383,0.0013020192164889901,5.3156336365327885e-12,5.325148659622209e-12
0.54,0.0012673571704894737,0.0012694713859998186,5.1833838181693875e-12,5.1920307810931954e-12
0.5409999999999999,0.0012353985989719237,0.0012373305859521215,5.052675959080304e-12,5.060577622702252e-12
0.542,0.0012101816798270881,0.001211997384871592,4.9495408889651106e-12,4.95696696928832e-12
0.5429999999999999,0.0011869365609379625,0.0011886622883225694,4.854470315407079e-12,4.861528394698561e-12
0.544,0.0011662800871389937,0.0011679307232350632,4.769987081695888e-12,4.776738043957576e-12
0.5449999999999999,0.0011413789961967071,0.001142926797613927,4.668143722262207e-12,4.6744740993702315e-12
0.546,0.0011162013973546572,0.0011176483399650437,4.5651694688654025e-12,4.571087341969477e-12
0.5469999999999999,0.001091572793398977,0.0010929295695743736,4.464440558199538e-12,4.4699896581976965e-12
0.548,0.001065784640341572,0.0010670389241322102,4.358969189613994e-12,4.36409910441242e-12
0.5489999999999999,0.0010399295626482895,0.001041087049897585,4.253224104918483e-12,4.2579581300358205e-12
0.55,0.001015630093770923,0.0010167042797977973,4.153841328932447e-12,4.158234659083609e-12
0.5509999999999999,0.00099564805229397,0.0009966670802161422,4.072116466472698e-12,4.0762842046328965e-12
0.552,0.0009764375782956721,0.000977410524986949,3.993547249853453e-12,3.9975265196701524e-12
